"Date","Time","ambiente","entrada","saida","dif","tensao","corrente","kacl/h","vazao","kw aquecimento","kw consumo","cop"
"2026/03/11","21:48:08","26.74","25.38","25.30","00.08","000.0","00.0","000.0","00000","000.0","000.0","00.0"
"2026/03/11","21:48:17","26.74","28.46","25.27","03.23","000.0","00.0","000.0","00000","000.0","000.0","00.0"
"2026/03/11","21:48:20","26.74","31.94","25.28","06.70","000.0","00.0","000.0","00000","000.0","000.0","00.0"
"2026/03/11","21:48:24","26.74","34.97","25.29","09.71","000.0","00.0","000.0","00000","000.0","000.0","00.0"
"2026/03/11","21:48:31","26.74","38.09","25.26","12.84","000.0","00.0","000.0","00000","000.0","000.0","00.0"
