"Date","Time","ambiente","entrada","saida","dif","tensao","corrente","kacl/h","vazao","kw aquecimento","kw consumo","cop"
"2026/03/03","19:51:04","29.80","28.21","30.12","01.91","000.0","00.0","000.0","00000","000.0","000.0","00.0"
"2026/03/03","19:51:44","29.78","29.25","31.75","02.49","000.0","00.0","000.0","00000","000.0","000.0","00.0"
"2026/03/03","19:51:54","29.78","30.28","31.67","01.38","000.0","00.0","000.0","00000","000.0","000.0","00.0"
"2026/03/03","19:52:02","29.78","31.29","31.64","00.35","000.0","00.0","000.0","00000","000.0","000.0","00.0"
